,,,,,,,22/1,22/2,22/3,22/4,22/5,22/6,22/7,22/8,22/9,22/10,22/11,22/12,23/1,23/2,23/3,,23/4,23/5,23/6,23/7,23/8,23/9,23/10,23/11,23/12,24/1,24/2,24/3,,24/4,,,,,24/5,,,,,24/6,,,,,24/7,,,,,24/8,,,,,24/9,,,,,24/10,,,,,24/11,,,,,24/12,,,,,25/1,,,,,25/2,,,,,25/3,,,,,,25/4,25/5,25/6,25/7,25/8,25/9,25/10,25/11,25/12,26/1,25/6,26/3,,26/4,26/5,26/6,26/7,26/8,26/9,26/10,26/11,26/12,27/1,27/2,27/3,,27/4,27/5,27/6,27/7,27/8,27/9,27/10,27/11,27/12,28/1,28/2,28/3,,22年度,23年度,24年度,,,,,25年度,26年度,27年度
,,,,,,,,,,,,,,,,,,,,,,,実績,実績,実績,実績,実績,実績,実績,実績,実績,実績,実績,実績,,実績,見込,"bord
計上額",差分,乖離率,実績,見込,"bord
計上額",差分,乖離率,実績,見込,"bord
計上額",差分,乖離率,実績,見込,"bord
計上額",差分,乖離率,実績,見込,"bord
計上額",差分,乖離率,実績,見込,"bord
計上額",差分,乖離率,実績,見込,"bord
計上額",差分,乖離率,実績,見込,"bord
計上額",差分,乖離率,実績,見込,"bord
計上額",差分,乖離率,実績,見込,"bord
計上額",差分,乖離率,実績,見込,"bord
計上額",差分,乖離率,実績,見込,"bord
計上額",差分,乖離率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,年度計画,累積（実績）,累積（BD）,差分,乖離率,,,
,,売上,総合計,,,,0,0,"15,000","27,254","26,183","35,519","30,869","29,184","33,586","36,117","41,318","45,360","26,187","26,144","60,434",,"33,830","32,724","28,076","31,511","34,302","57,956","33,331","41,443","76,652","26,143","28,330","73,149",,"29,372","29,372","29,608",0 ,0 ,"25,124","25,124","25,124",0 ,0 ,"32,527","32,527","32,527",0 ,0 ,"40,934","40,934","40,933",0 ,0 ,"52,660","52,660","52,660",0 ,0 ,"32,551","32,551","32,549",0 ,0 ,"44,493","44,493","44,495",0 ,0 ,"38,297","38,297","38,294",0 ,0 ,"44,516","44,516","44,488",0 ,0 ,"36,664","36,664","36,685",0 ,0 ,"37,505","37,505","37,015",0 ,0 ,"98,188","98,188","96,767",0 ,0 ,,"35,048","32,326","34,383","52,773","41,764","45,844","63,541","57,454","66,745","59,838","62,222","97,881",,"53,548","54,603","54,680","70,406","57,060","61,798","69,944","70,324","66,692","70,536","70,749","89,757",,"72,220","73,679","74,108","90,938","77,287","82,593","93,420","94,175","90,715","95,092","95,650","115,913",,"418,156","497,447","600,193","512,831","511,146","(1,685)",(0),"649,820","911,896","1,382,792"
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,16,,18,,,,,,,,,,,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,-4000,0 ,0 ,,16,17,18,19,20,21,22,23,24,25,26,27,,16,17,1800.00%,19,20, 21 ,22 ,23,24,25,26,27,,16,17,18,19,20,21,22,23,24,25,26,27,,,,,,-4000,,,,,
,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,,10,,12,,,,,,,,,,,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,,,0 ,0 ,,10,11,12,13,14,15,16,17,18,19,20,21,,10,11,12,13,14, 15 ,16 ,17,18,19,20,21,,10,11,12,13,14,15,16,17,18,19,20,21,,,,,,0,,,,,
,,,システム利用料,,,,,,,16894000,16614000,18336000,18409000,18691000,18757000,19439000,19589000,19714000,19653000,19306496,20523129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YoY,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.97%,18.96%,20.65%,3.09%,2.75%,,,27.13%,40.33%,51.64%
,,,,MRR：売上合計（千円）,,,0,0,"15,000","16,894","16,614","18,336","18,409","18,691","18,757","19,439","19,589","19,714","19,653","19,306","20,523",,"20,228","20,228","21,561","21,445","21,411","21,197","21,197","21,058","20,870","21,032","21,143","21,312",,"22,786","22,786","22,815",0 ,0 ,"21,069","21,069","21,119",0 ,0 ,"27,651","27,651","27,741",0 ,0 ,"22,404","22,404","22,318",0 ,0 ,"23,071","23,071","23,312",0 ,0 ,"20,763","20,763","20,793",0 ,0 ,"25,415","25,415","25,495",0 ,0 ,"24,919","24,919","24,949",0 ,0 ,"22,728","22,728","22,728",0 ,0 ,"24,544","24,544","24,326",0 ,0 ,"27,470","27,470","26,985",0 ,0 ,"24,717","24,717","25,217",0 ,0 ,,"25,066","25,205","25,165","25,710","26,322","26,871","27,659","28,284","28,935","29,553","30,327","30,938",,"31,573","32,102","32,624","33,142","33,748","34,350","34,947","35,630","36,309","36,983","37,652","38,315",,"39,227","40,017","40,800","41,578","42,453","43,323","44,188","45,148","46,103","47,052","47,996","48,933",,"225,926","252,682","316,259","287,536","287,798", 263 ,0 ,"330,034","417,375","526,817"
,,,既存,MRR：短期PF（千円）,,,0,0,"2,325","1,555","1,410","1,780","2,373","1,919","1,878","2,049","2,168","1,959","2,305","1,822","3,786",,559,633,584,633,682,633,633,633,633,633,584,536,,614,614,,0 ,0 ,614,614,,0 ,0 ,512,512,,0 ,0 ,461,461,,0 ,0 ,461,461,,0 ,0 ,410,410,,0 ,0 ,410,410,,0 ,0 ,358,358,,0 ,0 ,307,307,,0 ,0 ,0,0,,0 ,0 ,0,0,,0 ,0 ,0,0,,0 ,0 ,,102,0,-20,-20,-16,-12,-9,-7,-5,-3,-2,-2,YoY,-1,-1,-1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0, 0 ,0 ,,,
,,,,MRR：長期PF（千円）,,,0,0,"12,675","15,339","15,204","16,556","16,036","16,773","16,999","17,268","17,421","17,754","17,348","17,484","16,738",,"19,668","19,595","20,976","20,812","20,729","20,564","20,564","20,425","20,237","20,399","20,559","20,776",,"22,171","22,171",,0 ,0 ,"19,519","19,519",,0 ,0 ,"27,139","27,139",,0 ,0 ,"21,943","21,943",,0 ,0 ,"22,611","22,611",,0 ,0 ,"20,353","20,353",,0 ,0 ,"25,005","25,005",,0 ,0 ,"24,560","24,560",,0 ,0 ,"22,421","22,421",,0 ,0 ,"24,544","24,544",,0 ,0 ,"27,470","27,470",,0 ,0 ,"24,717","24,717",,0 ,0 ,,"24,964","25,205","25,185","25,700","26,218","26,734","27,328","27,920","28,510","29,096","29,680","30,260",,"30,781","31,196","31,605","32,009","32,502","32,990","33,474","34,044","34,609","35,170","35,725","36,275",,"36,847","37,297","37,740","38,178","38,713","39,243","39,768","40,388","41,003","41,612","42,216","42,813",,"200,920","245,304","314,008","282,453",0,"(282,453)",(100),"326,800","400,380","475,817"
,,,,ARPA：短期PF（千円）,,,75.0,75.0,75.0,53.6,56.4,74.2,103.2,76.8,72.2,73.2,77.4,75.3,96.0,79.2,210.3,,43,48.70,48.70,48.70,48.70,48.70,48.70,48.70,48.70,48.70,48.70,48.70,,51.2,51.2,,0 ,0 ,51.2,51.2,,0 ,0 ,51.2,51.2,,0 ,0 ,51.2,51.2,,0 ,0 ,51.2,51.2,,0 ,0 ,51.2,51.2,,0 ,0 ,51.2,51.2,,0 ,0 ,51.2,51.2,,0 ,0 ,51.2,51.2,,0 ,0 ,0.0,0.0,,0 ,0 ,0.0,0.0,,0 ,0 ,0.0,0.0,,0 ,0 ,,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,YoY,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,,,,,,0.0,,,,,
,,,,ARPA：長期PF（千円）,,,75.0,75.0,75.0,90.8,92.1,99.7,99.6,109.6,106.2,104.0,101.9,105.7,104.5,105.3,104.6,115.26%,120,120.21,130.29,130.89,132.03,132.67,132.67,135.27,134.91,138.77,140.81,137.59,114.73%,150.8,150.8,,0 ,0 ,133.7,133.7,,0 ,0 ,184.6,184.6,,0 ,0 ,150.3,150.3,,0 ,0 ,152.8,152.8,,0 ,0 ,133.9,133.9,,0 ,0 ,160.3,160.3,,0 ,0 ,151.6,151.6,,0 ,0 ,137,136.7,,0 ,0 ,150.6,150.6,,0 ,0 ,170.6,170.6,,0 ,0 ,148.0,148.0,,0 ,0 ,112.47%,149.7,151.5,153.2,154.9,156.6,158.4,160.1,161.8,163.5,165.3,167.0,168.7,114.00%,170.1,171.5,172.9,174.4,175.8,177.2,178.6,180.0,181.4,182.8,184.2,185.6,110.00%,187.1,188.7,190.2,191.8,193.3,194.9,196.4,198.0,199.5,201.1,202.6,204.2,110.00%,,,,,0.0,,,,,
